kit,system,system_label,token_nll,token_ppl,token_acc,rmse,mae,mr_stft_sc,env_rms_corr,tter_db_mae,onset_precision,onset_recall,onset_f1,fad
60s Rock,dac,dac_allkits,5.946718494654657,444.06271955178465,0.07371732201249023,0.013881081774042821,0.006464743123565673,0.9727277505573316,0.651071933567313,1.8257581474173448,0.7737835013812097,0.6677726709933266,0.6923816435209508,
60s Rock,encodec,encodec_allkits,1.843764322924491,8.144801244447171,0.49906658196830206,0.015292423545718093,0.007118762726189316,0.8439816763707262,0.721615127216144,1.6097688045892486,0.8026828384899772,0.6826571344586277,0.7196456480867514,
60s Rock,xcodec,xcodec_allkits,4.382090617126919,103.03123226738845,0.13050229434859867,0.02216874888656548,0.010033990747717903,1.274343927557558,0.6468881186890566,1.8346653526498198,0.8132385173503429,0.6558678041710341,0.7085672821281077,
808 Simple,dac,dac_allkits,5.598092061525875,341.6244679071765,0.08184434383927695,0.018194890698283298,0.01227833457436736,0.9743113214878456,0.36408009126334234,4.205708962335332,0.788634660700958,0.6752445717186274,0.7096693917874076,
808 Simple,encodec,encodec_allkits,1.914377801358156,7.870177679073656,0.4302485371520115,0.020369931058675766,0.013441602667035526,0.8395952019974494,0.5541769708140611,2.477795756346462,0.8039668856381916,0.6246068309478321,0.6811489650197767,
808 Simple,xcodec,xcodec_allkits,3.993987618041827,64.05590811100247,0.1626453422490538,0.034218277351686525,0.020698939379780408,1.6412276282342473,0.38061351384284936,4.908018415688244,0.8006074009809611,0.6701706465075241,0.709267650225158,
909 Simple,dac,dac_allkits,5.784489871075602,389.6565327062224,0.08122259983620114,0.022682942469296113,0.012653545218282979,0.9665431687185022,0.49819598709613166,2.348933370373204,0.7542967482418413,0.6326386533219476,0.6670289619601921,
909 Simple,encodec,encodec_allkits,2.127757141176188,10.371369634155506,0.42269375285559546,0.024224691631855755,0.013439231176164064,0.8140362004842232,0.7473607409539547,1.594285177974534,0.7747795182130024,0.6124107851814135,0.6582093359164002,
909 Simple,xcodec,xcodec_allkits,4.0281756576437875,67.63312149531339,0.15802714099869386,0.03704670369821491,0.019448019309819212,1.4031838141932078,0.6264231931210716,2.4331503303397124,0.765298901534719,0.6104357833793222,0.6595533282560337,
Acoustic Kit,dac,dac_allkits,6.2570796351138185,558.7410506749399,0.03818448634764938,0.018263362544410935,0.009427420054354018,0.9803033586967004,0.5814695814504026,1.4586407576381806,0.7245859278099064,0.6690972618031172,0.6720173830437418,
Acoustic Kit,encodec,encodec_allkits,2.158514959076995,11.204617603391851,0.4307633955325285,0.020446835343889892,0.010186941495788752,0.8175509692025116,0.7054499034796888,1.3722867034912274,0.7823451414285909,0.6946004541051591,0.7121418410013461,
Acoustic Kit,xcodec,xcodec_allkits,4.44079178517143,103.64111027209958,0.12042319537927608,0.03316526901673882,0.017720578181767897,1.551842636392972,0.5439517618478849,2.2693485762996994,0.7691763440020183,0.6480104945988282,0.6804692184230171,
Alternative (METAL),dac,dac_allkits,6.243384552424778,544.8209957122389,0.037705081150724275,0.01623022184329952,0.008206561792402808,1.0399681097548275,0.6105354411839803,2.506071204171874,0.7727433756634744,0.726265392331155,0.7281625551985795,
Alternative (METAL),encodec,encodec_allkits,2.0727942782354027,10.525490652521226,0.4589067110729205,0.017559640765210063,0.00897318245111739,0.8727192737223002,0.6856726065705331,1.754123086815727,0.7827820196023338,0.7447471654805119,0.7436176269694572,
Alternative (METAL),xcodec,xcodec_allkits,4.465263662403727,106.13645060084681,0.1224459106025568,0.028660038610231336,0.015537105095643941,1.7310456813545463,0.5548198340343159,1.612115146863707,0.8009069800515269,0.7289459214231838,0.7457513182920402,
Alternative (Rock),dac,dac_allkits,6.267354225471309,561.9301523645419,0.036600011660984186,0.016998432864792894,0.009137619682549733,1.0128051301195617,0.5354187354626696,1.5407351482937721,0.7607448732261654,0.6630288770953698,0.6804662408675621,
Alternative (Rock),encodec,encodec_allkits,2.073712898661261,10.295731295445352,0.4521847236175559,0.018438861185429922,0.009719540001933742,0.8308395066331129,0.6824061693501262,1.5749471241733026,0.7816068429420675,0.6829852971017452,0.7020249484216367,
Alternative (Rock),xcodec,xcodec_allkits,4.502775965893568,113.48311280417026,0.12116491621037716,0.03281492468862794,0.017372560711331194,1.7868836201014562,0.5736565023671829,1.8765458985185002,0.7886841830831779,0.6507244780266801,0.6885986472271383,
Arena Stage,dac,dac_allkits,6.322773941389756,593.7260022567231,0.031091425054480135,0.026488594228386,0.01590900276132897,1.1532853368890095,0.49891695924364504,2.6509779887818676,0.7495005481928435,0.676412642821235,0.686170581000797,
Arena Stage,encodec,encodec_allkits,2.5876341233332587,18.327652295673616,0.34488541287945995,0.024130507788440808,0.014560847099932099,0.7795404924641269,0.7015122624539718,1.627912872489382,0.7820840636153641,0.6923040103785705,0.704209078778418,
Arena Stage,xcodec,xcodec_allkits,4.436921820487801,106.95844330201433,0.12190185875116694,0.040411809441724844,0.024719935110048344,1.603684591287601,0.48641533691049116,2.6661515261472646,0.7922828997885345,0.6556627054941613,0.6893102735428733,
Big Room (Layered),dac,dac_allkits,6.042499596862553,488.07393762067994,0.05763960994117287,0.01704014999768292,0.010391936819756503,0.9760634992130971,0.4685535802132303,2.204633763699925,0.738418226283496,0.7428805047281323,0.7232319002591989,
Big Room (Layered),encodec,encodec_allkits,2.1979331659660324,11.645828143692816,0.411904482752759,0.019555783294237614,0.011624709824881237,0.775113944260777,0.6663966358802097,1.5640644643913295,0.7812762593610046,0.750925262153061,0.7497052480422847,
Big Room (Layered),xcodec,xcodec_allkits,4.325948494795531,98.77053546022398,0.13259250967805422,0.024453373879287425,0.014103740548147194,1.0870213523704342,0.4935782989259307,2.7335594611163336,0.7847070310043531,0.6900554570718288,0.7192788309491411,
Bigga Bop (Jazz),dac,dac_allkits,6.221880972112617,547.4475284228477,0.03783882172278023,0.017783361287999636,0.009291207760989894,0.9810505302337037,0.6515909243195855,2.2035281459879137,0.7675614714780661,0.6573565589106993,0.6820101870924985,
Bigga Bop (Jazz),encodec,encodec_allkits,2.2040135887210646,11.94170429943034,0.4234799063890644,0.01851136515060532,0.009819527450955212,0.8134563419847564,0.6976154032381187,1.231955005473773,0.8116871903390641,0.6751265617533012,0.7184559102945353,
Bigga Bop (Jazz),xcodec,xcodec_allkits,4.546272153303334,113.96399763409521,0.11387068354622505,0.03425528026045724,0.017717007996990893,1.7427573372238436,0.5628148153559756,1.7017894214707816,0.8132179129524171,0.6292863144300909,0.6904011893813558,
Cassette (Lo-Fi Compress),dac,dac_allkits,6.329655795010008,580.7002607660767,0.02718027844555553,0.01820283357384495,0.00985984593998021,0.9511827834589368,0.5946081625396198,1.9417762057463013,0.7560183743262963,0.7110803832539664,0.7149866994720216,
Cassette (Lo-Fi Compress),encodec,encodec_allkits,2.367085363705225,13.498013794479949,0.3892974934535264,0.022514256892749662,0.011873906591811517,0.8322646470008069,0.6879767155137406,1.7158216022761301,0.7336923808772026,0.6663984747299814,0.6785222320027602,
Cassette (Lo-Fi Compress),xcodec,xcodec_allkits,4.520301982478953,109.86807969932951,0.1092949537411358,0.03994131900699006,0.022854739598116673,1.836299089100302,0.5233761284524096,1.6701631373566492,0.7570377846583425,0.6243856576805487,0.654906909514036,
Classic Rock,dac,dac_allkits,6.32754377451314,610.0992814935175,0.03251660026548088,0.023383157331521447,0.013190506841896293,1.0226913328023788,0.6188287051393727,2.6432446873931807,0.7209903770800888,0.6561211475693053,0.6604752854341129,
Classic Rock,encodec,encodec_allkits,2.6267791243751684,19.326747227802375,0.344715839869677,0.022591753749782274,0.013228079811119202,0.7875459045817882,0.7169619113377236,1.176265326018233,0.7720247651548,0.6491818957757388,0.6777971366292875,
Classic Rock,xcodec,xcodec_allkits,4.516748853488154,112.79129546825122,0.12043670498008929,0.04496393371527956,0.026614154990651437,2.1770238186888995,0.40212244355150295,2.822443195126872,0.774063648029339,0.61326925039147,0.658885220300083,
ClassicMetal (80s-90s),dac,dac_allkits,6.143400995286706,514.0334092356175,0.054218953567407635,0.021513969241854277,0.009846517268781945,1.1202121398042917,0.666870926239902,2.0545374758416126,0.7397665512684855,0.6968383592609779,0.698120617901011,
ClassicMetal (80s-90s),encodec,encodec_allkits,2.1205966371437643,11.45548742887763,0.4587177852126267,0.02120483154529668,0.009897735811364454,0.879489908939742,0.7350173955140951,1.4422705055593439,0.7552565583042533,0.6936565893234666,0.706243607578948,
