setting,system,kit,n_test,token_nll_mean,token_nll_std,token_ppl_mean,token_ppl_std,token_acc_mean,token_acc_std,rmse_mean,rmse_std,mae_mean,mae_std,mr_stft_sc_mean,mr_stft_sc_std,env_rms_corr_mean,env_rms_corr_std,tter_db_mae_mean,tter_db_mae_std,onset_precision_mean,onset_precision_std,onset_recall_mean,onset_recall_std,onset_f1_mean,onset_f1_std,fad
big_all_kits,dac,60s Rock,1747,6.37323339311614,0.2602599141025773,603.5610468880362,133.4099871328542,0.054430601934717125,0.0752870157899654,0.01271991507568272,0.006441628981306431,0.0057510503301142135,0.0036425386025425244,0.9985989089869907,0.0017030611285934704,-0.10290600173450529,0.15571402231611656,5.422604578970907,3.1248596912280338,0.8454493417286777,0.26563455823187304,0.13561222791152275,0.06505919241357001,0.22954023681450622,0.09527886759534966,
big_all_kits,dac,808 Simple,1754,6.392602428742934,0.28432344270263754,618.132859227501,142.42180516791927,0.047967486440770805,0.07853601986106841,0.016909500690216774,0.012064938359581013,0.011612634085511163,0.00852625473679404,0.9964871478467403,0.0025465138799555705,-0.14101574677332226,0.1583213192411214,1.7920313591826285,2.2449864564845097,0.8437856328392246,0.2660977600446277,0.13536918646489232,0.06496445720924766,0.22912273363137023,0.0951714935055734,
big_all_kits,dac,909 Simple,1751,6.393450664017011,0.2866712469932438,619.5059650331362,148.34046456032766,0.05314693209870834,0.07947689576475148,0.020005235486622502,0.012475984887305017,0.01109170870238362,0.007351096434657033,0.9980601953697479,0.00188774837006714,-0.17654316281512963,0.16424232496853758,3.7933429207212748,2.8490274806507734,0.844374643061108,0.26594453099480925,0.13544020961032274,0.0649799200233829,0.2292496832806077,0.09518044194439629,
big_all_kits,dac,Acoustic Kit,1748,6.527422953797696,0.19496000464338073,694.4011734045743,107.17771143082048,0.02360936553902169,0.051445495396906224,0.016675506426914816,0.008588771581376109,0.008230060576458326,0.0047677368924385075,0.9983840084179464,0.0019791999507630877,-0.13024840366622478,0.15370244566540195,3.3183282693993994,1.9839561116360829,0.8452517162471396,0.2656869999602077,0.13556642889987744,0.065068744295436,0.22946612912754139,0.09530196034688627,
big_all_kits,dac,Alternative (METAL),1748,6.52321429792749,0.16396655769162954,688.107267399294,86.16768669948311,0.018870329111052544,0.04482718230140729,0.013610743693572454,0.00784146396968517,0.006922640903578903,0.004166713271541219,0.9967161942069123,0.003034279456543233,-0.12131166524302568,0.16752240414919903,2.6529731087070587,1.5988765757948715,0.8452517162471396,0.2656869999602077,0.13556642889987744,0.065068744295436,0.22946612912754139,0.09530196034688627,
big_all_kits,dac,Alternative (Rock),1748,6.524849762087283,0.17841718717662355,690.8019296420674,97.11735862517513,0.019854623456680612,0.04762836644659905,0.014883733890702073,0.008099905181416605,0.007834189226349507,0.004735416111100341,0.9978820215427556,0.001783469326147851,-0.1898240519825464,0.17718926502996132,3.2586133228073204,2.0212864699896884,0.8452517162471396,0.2656869999602077,0.13556642889987744,0.065068744295436,0.22946612912754139,0.09530196034688627,
big_all_kits,dac,Arena Stage,1748,6.617447970933718,0.18550743112300183,758.6260149584825,111.46528011171608,0.01702729274433418,0.04528246109583305,0.019959566959146094,0.010460238199277019,0.01215881695803535,0.0067440998734022714,0.9981559685679151,0.001946827392062901,-0.09032139885506156,0.16179574240175518,1.7945285827091795,1.519409602071798,0.8452517162471396,0.2656869999602077,0.13556642889987744,0.065068744295436,0.22946612912754139,0.09530196034688627,
big_all_kits,dac,Big Room (Layered),1748,6.448776393515022,0.23280177335094407,646.5158826541281,121.56479735882948,0.0405571045591258,0.06401756402976526,0.01636150059885544,0.007094311131657225,0.009908677531618672,0.00495750272925422,0.9977571427653279,0.0017023685857588114,-0.07127012051529417,0.12653942708760338,3.096563879533855,2.433775525211649,0.8452517162471396,0.2656869999602077,0.13559276285069655,0.06508751419820247,0.2294993561344526,0.0953247098689327,
big_all_kits,dac,Bigga Bop (Jazz),1748,6.536433179809518,0.2012745722320396,701.5207340420292,114.17394230704299,0.020024698794310253,0.04978026050413445,0.015599150229514244,0.007612349132536062,0.008116099321009393,0.005015148246408686,0.9982891605409046,0.002314231732601792,-0.0720110440039108,0.13714995771430627,2.755428930964102,1.8595158839320782,0.8452517162471396,0.2656869999602077,0.13556642889987744,0.065068744295436,0.22946612912754139,0.09530196034688627,
big_all_kits,dac,Cassette (Lo-Fi Compress),1747,6.616700094361679,0.14999842192279145,754.1849163975202,86.27982638191095,0.013818167757048309,0.03916007531684895,0.017418679818432384,0.006011286359230996,0.009323086727470628,0.004447894977341815,0.9988476439776551,0.000554616528031135,-0.12662326729943527,0.1481646038019358,3.2785682093560387,1.8442103335447997,0.8454493417286777,0.26563455823187304,0.13561222791152275,0.06505919241357001,0.22954023681450622,0.09527886759534966,
big_all_kits,dac,Classic Rock,1748,6.6082984670076,0.1921263801339417,752.7295383964306,117.57174617579403,0.019305368282999377,0.04597530809275443,0.01853260885642575,0.009670459027769925,0.010786937886015943,0.006419358146944259,0.9984988337261955,0.001841555288619406,-0.10466316600076331,0.1659022248723122,2.1955307821253407,1.6265073943607793,0.8452517162471396,0.2656869999602077,0.13556642889987744,0.065068744295436,0.22946612912754139,0.09530196034688627,
